file	id	name	model	state	rating	fights	kit	len	verbs	useArgs	useLits	deadLits	readsKit	enemyKit	lead	enemyStarted	telegraph	enemyCasting	projectiles	zones	visible	los	pathTo	ray	obstacles	blinded	silenced	rooted	stunned	refused	missed	damaged	dealt	busy	ready	cooldownField	burn	airborne	memApi	closureState	cyrillicSay	cyrillicAny	hardDist	useJump	tryCatch	faceBeforeUse	hp
sub_opus_plain__c_c70e1e4a-f8a.js	c_c70e1e4a-f8a	THUNDER CLOCKMAKER	sub:opus:plain	retired	1207	931	zone[weaken+root:speed] beam[damage] beam[damage+stun]	7937	move,moveTo,stop,faceAt,use,ready,rand,say	4/0/1	k3,k2,k1		N	N	N	Y	Y	Y	N	Y	Y	N	N	N	Y	N	N	N	Y	N	N	Y	Y	Y	Y	N	N	N	N	Y	Y	Y	8	N	N	Y	Y
sub_opus_plain__c_e4653a50-181.js	c_e4653a50-181	FOUNDRY FIST	sub:opus:plain	active	1260	7896	dash[damage+knock] cone[damage+stun] self[boost:damage]	4544	move,moveTo,stop,faceAt,use,ready,cooldown,ray,say	3/0/0	k2,k1,k3		N	N	N	Y	Y	Y	N	N	Y	N	N	Y	N	N	N	N	Y	N	N	N	Y	Y	Y	N	N	Y	N	Y	Y	Y	2	N	N	Y	N
z_ai_glm_5_3_flash_plain__c_18e20e72-6bb.js	c_18e20e72-6bb	STONE GOLEM	z-ai/glm-5.3-flash:plain	active	1559	10291	cone[damage+knock] dash[damage] dash[damage+stun]	3004	move,stop,faceAt,use,cooldown,ray,pathTo,rand,remember,recall,say	4/0/0	k1,k3,k2		N	N	N	Y	Y	Y	N	N	Y	N	Y	Y	Y	N	N	N	N	Y	N	N	N	Y	N	N	Y	Y	Y	N	Y	Y	9	N	N	Y	N
z_ai_glm_5_3_flash_plain__c_303e3387-581.js	c_303e3387-581	STONE GOLEM	z-ai/glm-5.3-flash:plain	active	1610	8703	cone[damage+knock] zone[damage+root] self[shield+heal]	2076	move,moveTo,stop,face,use,ready	3/0/0	k3,k1,k2		N	N	Y	N	N	Y	N	Y	Y	N	N	N	N	N	N	N	N	N	N	N	N	Y	Y	N	N	Y	N	N	N	N	0	N	N	Y	Y
z_ai_glm_5_3_flash_plain__c_925ab5a2-cf1.js	c_925ab5a2-cf1	RACE CHECK	z-ai/glm-5.3-flash:plain	active	1128	12271	bolt[damage] self[shield] self[boost:speed]	2317	move,faceAt,use,ready,rand	2/0/1	blink,jump,laser	k1,k2,k3	N	N	N	Y	Y	Y	N	N	Y	N	N	N	N	N	N	N	N	N	Y	N	Y	N	Y	N	N	Y	N	Y	N	N	3	Y	N	Y	N
z_ai_glm_5_3_flash_plain__c_ba1bb611-82e.js	c_ba1bb611-82e	ICE MAGE	z-ai/glm-5.3-flash:plain	active	1098	9022	bolt[damage+root] lob[wall] zone[root+damage]	5889	move,moveTo,face,faceAt,use,ready,los,rand,remember,recall,say	0/0/3	k1,k3,k2		N	N	Y	Y	N	Y	Y	Y	N	Y	N	N	Y	N	N	N	Y	N	N	Y	N	N	Y	N	N	N	Y	Y	Y	Y	0	N	N	Y	N
z_ai_glm_5_3_flash_plain__c_cb22b5c1-9ef.js	c_cb22b5c1-9ef	COURIER	z-ai/glm-5.3-flash:plain	active	1134	12887	self[boost:speed] bolt[damage] self[shield]	2839	move,moveTo,face,use,ready,los,ray	1/0/1	blink,laser	k1,k2,k3	N	N	N	Y	Y	Y	N	N	Y	Y	N	Y	Y	N	N	N	N	Y	N	Y	N	Y	Y	Y	N	N	N	N	N	N	3	N	N	Y	N
z_ai_glm_5_3_flash_think__c_1632796b-2fd.js	c_1632796b-2fd	ASH MOTH	z-ai/glm-5.3-flash:think	retired	1200	397	cone[blind] dash[damage] self[boost:speed]	2190	move,faceAt,use,ready,ray,say	0/0/1	blink	k3	N	N	Y	N	Y	Y	N	N	Y	N	N	Y	N	N	N	N	Y	N	N	N	N	Y	Y	N	N	N	N	N	Y	Y	6	N	N	Y	N
z_ai_glm_5_3_flash_think__c_2249bd51-8c1.js	c_2249bd51-8c1	SHARK	z-ai/glm-5.3-flash:think	active	1053	13615	beam[damage+burn] blink[cleanse] self[shield]	2007	move,moveTo,face,use,ready,remember,recall	3/0/0	jump,smash,charge	k1,k2,k3	N	N	N	N	Y	Y	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	Y	N	N	N	2	Y	N	Y	N
z_ai_glm_5_3_flash_think__c_2653c932-fff.js	c_2653c932-fff	GLASS JELLYFISH	z-ai/glm-5.3-flash:think	retired	1200	423	bolt[damage] self[shield+cleanse] dash[boost:speed]	2553	move,stop,faceAt,use,ready,cooldown,rand,say	1/0/2	laser,blink,dash	k1,k2,k3	N	N	N	Y	Y	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	Y	Y	Y	Y	N	N	N	N	N	Y	Y	6	N	N	Y	Y
z_ai_glm_5_3_flash_think__c_423a100a-a20.js	c_423a100a-a20	ARMOR CRAB	z-ai/glm-5.3-flash:think	retired	1200	974	dash[damage] zone[pull] self[shield+boost:armor]	1939	move,face,faceAt,use,ready,remember,recall	3/0/0	jump,smash,charge	k1,k2,k3	N	N	N	Y	N	N	N	Y	Y	N	N	N	N	N	N	N	N	Y	N	N	N	N	Y	N	N	Y	Y	N	N	N	3	Y	N	Y	N
z_ai_glm_5_3_flash_think__c_b53d1c3d-3d3.js	c_b53d1c3d-3d3	GLASS JELLYFISH	z-ai/glm-5.3-flash:think	active	1200	9947	beam[damage] blink[cleanse] bolt[damage]	2287	move,faceAt,use,ready,remember,recall,say	1/0/2	k2,k1,k3		N	N	Y	Y	N	N	N	N	Y	N	N	N	Y	N	N	N	Y	Y	N	Y	N	Y	Y	N	N	N	Y	N	Y	Y	0	N	N	Y	N
z_ai_glm_5_3_think__c_4170a163-701.js	c_4170a163-701	OSKTUS-86	z-ai/glm-5.3:think	active	1192	11866	self[heal] cone[damage] bolt[burn]	3231	move,moveTo,face,faceAt,use,ready,rand	2/0/2	blink,jump,laser	k1,k2,k3	N	N	N	N	N	Y	N	N	Y	N	N	N	N	N	N	N	Y	N	N	N	N	Y	Y	N	Y	Y	N	N	N	N	0	Y	N	Y	N
